#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	CONTIG_LENGTH	METADATA	ASSEMBLY_NAME	OBSERVATION_ID	VARIANT
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-899-PRJ1139-Klebsiella-pneumoniae-1D-907_R1_001.fa	NODE_2_length_385120_cov_8.557852	339767	342919	-	OqxB_1_EU370913	1-3153/3153	===============	0/0	100.00	98.83	385120	Klebsiella	DK_DTU2019_899_PRJ1139_Klebsiella_pneumoniae_1D-907	DK1	v_18
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-899-PRJ1139-Klebsiella-pneumoniae-1D-907_R1_001.fa	NODE_2_length_385120_cov_8.557852	342943	344118	-	OqxA_1_EU370913	1-1176/1176	===============	0/0	100.00	99.66	385120	Klebsiella	DK_DTU2019_899_PRJ1139_Klebsiella_pneumoniae_1D-907	DK2	v_19
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-899-PRJ1139-Klebsiella-pneumoniae-1D-907_R1_001.fa	NODE_6_length_267401_cov_7.730775	114109	114969	+	blaSHV-172_1_KF513177	1-861/861	===============	0/0	100.00	99.88	267401	Klebsiella	DK_DTU2019_899_PRJ1139_Klebsiella_pneumoniae_1D-907	DK3	v_20
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-900-PRJ1139-Klebsiella-pneumoniae-1D-908_R1_001.fa	NODE_1_length_449725_cov_4.624220	61086	62261	+	OqxA_1_EU370913	1-1176/1176	===============	0/0	100.00	98.98	449725	Klebsiella	DK_DTU2019_900_PRJ1139_Klebsiella_pneumoniae_1D-908	DK4	v_21
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-900-PRJ1139-Klebsiella-pneumoniae-1D-908_R1_001.fa	NODE_1_length_449725_cov_4.624220	62285	65437	+	OqxB_1_EU370913	1-3153/3153	===============	0/0	100.00	98.98	449725	Klebsiella	DK_DTU2019_900_PRJ1139_Klebsiella_pneumoniae_1D-908	DK5	v_5
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-901-PRJ1139-Escherichia-coli-1D-909_R1_001.fa	NODE_21_length_66302_cov_15.681783	16244	17104	-	blaTEM-1B_1_AY458016	1-861/861	===============	0/0	100.00	100.00	66302	Escherichia	DK_DTU2019_901_PRJ1139_Escherichia_coli_1D-909	DK7	v_23
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-902-PRJ1139-Escherichia-coli-1D-910_R1_001.fa	NODE_20_length_69223_cov_27.723747	4139	5344	+	tet(B)_2_AF326777	1-1206/1206	===============	0/0	100.00	99.92	69223	Escherichia	DK_DTU2019_902_PRJ1139_Escherichia_coli_1D-910	DK9	v_25
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-902-PRJ1139-Escherichia-coli-1D-910_R1_001.fa	NODE_20_length_69223_cov_27.723747	15179	16039	-	blaTEM-1D_1_AF188200	1-861/861	===============	0/0	100.00	100.00	69223	Escherichia	DK_DTU2019_902_PRJ1139_Escherichia_coli_1D-910	DK10	v_26
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-903-PRJ1139-Escherichia-coli-1D-911_R1_001.fa	NODE_17_length_95676_cov_8.967315	71878	72693	+	sul2_2_AY034138	1-816/816	===============	0/0	100.00	100.00	95676	Escherichia	DK_DTU2019_903_PRJ1139_Escherichia_coli_1D-911	DK11	v_27
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-903-PRJ1139-Escherichia-coli-1D-911_R1_001.fa	NODE_17_length_95676_cov_8.967315	72754	73557	+	aph(3'')-Ib_5_AF321551	1-804/804	===============	0/0	100.00	100.00	95676	Escherichia	DK_DTU2019_903_PRJ1139_Escherichia_coli_1D-911	DK12	v_28
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-903-PRJ1139-Escherichia-coli-1D-911_R1_001.fa	NODE_17_length_95676_cov_8.967315	73813	74673	-	blaTEM-1C_1_FJ560503	1-861/861	===============	0/0	100.00	100.00	95676	Escherichia	DK_DTU2019_903_PRJ1139_Escherichia_coli_1D-911	DK13	v_29
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-904-PRJ1139-Escherichia-coli-1D-912_R1_001.fa	NODE_21_length_55587_cov_22.103426	8897	9757	+	blaTEM-1B_1_AY458016	1-861/861	===============	0/0	100.00	99.88	55587	Escherichia	DK_DTU2019_904_PRJ1139_Escherichia_coli_1D-912	DK14	v_30
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-905-PRJ1139-Escherichia-coli-1D-913_R1_001.fa	NODE_10_length_162474_cov_18.582358	135114	136346	-	mdf(A)_1_Y08743	1-1233/1233	===============	0/0	100.00	98.95	162474	Escherichia	DK_DTU2019_905_PRJ1139_Escherichia_coli_1D-913	DK16	v_32
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-906-PRJ1139-Escherichia-coli-1D-914_R1_001.fa	NODE_15_length_62605_cov_17.902862	21185	22021	-	aph(6)-Id_1_M28829	1-837/837	===============	0/0	100.00	100.00	62605	Escherichia	DK_DTU2019_906_PRJ1139_Escherichia_coli_1D-914	DK18	v_34
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-906-PRJ1139-Escherichia-coli-1D-914_R1_001.fa	NODE_15_length_62605_cov_17.902862	22021	22823	-	aph(3'')-Ib_2_AF024602	2-804/804	===============	0/0	99.88	100.00	62605	Escherichia	DK_DTU2019_906_PRJ1139_Escherichia_coli_1D-914	DK19	v_35
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-906-PRJ1139-Escherichia-coli-1D-914_R1_001.fa	NODE_15_length_62605_cov_17.902862	32010	32483	+	dfrA17_1_FJ460238	1-474/474	===============	0/0	100.00	100.00	62605	Escherichia	DK_DTU2019_906_PRJ1139_Escherichia_coli_1D-914	DK20	v_36
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-906-PRJ1139-Escherichia-coli-1D-914_R1_001.fa	NODE_15_length_62605_cov_17.902862	32614	33402	+	aadA5_1_AF137361	1-789/789	===============	0/0	100.00	100.00	62605	Escherichia	DK_DTU2019_906_PRJ1139_Escherichia_coli_1D-914	DK21	v_37
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-906-PRJ1139-Escherichia-coli-1D-914_R1_001.fa	NODE_15_length_62605_cov_17.902862	35804	36619	+	sul2_2_AY034138	1-816/816	===============	0/0	100.00	100.00	62605	Escherichia	DK_DTU2019_906_PRJ1139_Escherichia_coli_1D-914	DK22	v_27
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-906-PRJ1139-Escherichia-coli-1D-914_R1_001.fa	NODE_21_length_45685_cov_17.889394	1892	2767	+	blaCTX-M-1_1_DQ915955	1-876/876	===============	0/0	100.00	100.00	45685	Escherichia	DK_DTU2019_906_PRJ1139_Escherichia_coli_1D-914	DK23	v_38
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-907-PRJ1139-Escherichia-coli-1D-915_R1_001.fa	NODE_17_length_72444_cov_55.394195	7140	8000	-	blaTEM-1A_1_HM749966	1-861/861	===============	0/0	100.00	100.00	72444	Escherichia	DK_DTU2019_907_PRJ1139_Escherichia_coli_1D-915	DK24	v_39
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-907-PRJ1139-Escherichia-coli-1D-915_R1_001.fa	NODE_17_length_72444_cov_55.394195	67559	68374	+	sul2_2_AY034138	1-816/816	===============	0/0	100.00	100.00	72444	Escherichia	DK_DTU2019_907_PRJ1139_Escherichia_coli_1D-915	DK25	v_27
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-907-PRJ1139-Escherichia-coli-1D-915_R1_001.fa	NODE_30_length_17300_cov_14.563326	2794	3267	+	dfrA1_8_X00926	1-474/474	===============	0/0	100.00	100.00	17300	Escherichia	DK_DTU2019_907_PRJ1139_Escherichia_coli_1D-915	DK26	v_13
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-907-PRJ1139-Escherichia-coli-1D-915_R1_001.fa	NODE_30_length_17300_cov_14.563326	14167	15372	+	tet(B)_1_AP000342	1-1206/1206	===============	0/0	100.00	99.92	17300	Escherichia	DK_DTU2019_907_PRJ1139_Escherichia_coli_1D-915	DK27	v_40
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-908-PRJ1139-Escherichia-coli-1D-916_R1_001.fa	NODE_17_length_114994_cov_15.078569	73405	73878	+	dfrA1_8_X00926	1-474/474	===============	0/0	100.00	100.00	114994	Escherichia	UK_DTU2019_908_PRJ1139_Escherichia_coli_1D-916	UK1	v_13
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-909-PRJ1139-Escherichia-coli-1D-917_R1_001.fa	NODE_19_length_105721_cov_10.894265	26883	28115	-	mdf(A)_1_Y08743	1-1233/1233	===============	0/0	100.00	99.92	105721	Escherichia	UK_DTU2019_909_PRJ1139_Escherichia_coli_1D-917	UK2	v_75
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-909-PRJ1139-Escherichia-coli-1D-917_R1_001.fa	NODE_33_length_54041_cov_32.638554	32110	32583	+	dfrA1_8_X00926	1-474/474	===============	0/0	100.00	100.00	54041	Escherichia	UK_DTU2019_909_PRJ1139_Escherichia_coli_1D-917	UK3	v_13
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-909-PRJ1139-Escherichia-coli-1D-917_R1_001.fa	NODE_33_length_54041_cov_32.638554	32701	33333	+	catB3_2_U13880	1-633/633	===============	0/0	100.00	99.84	54041	Escherichia	UK_DTU2019_909_PRJ1139_Escherichia_coli_1D-917	UK4	v_119
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-909-PRJ1139-Escherichia-coli-1D-917_R1_001.fa	NODE_33_length_54041_cov_32.638554	37717	38577	+	blaTEM-1A_1_HM749966	1-861/861	===============	0/0	100.00	100.00	54041	Escherichia	UK_DTU2019_909_PRJ1139_Escherichia_coli_1D-917	UK5	v_39
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-911-PRJ1139-Klebsiella-oxytoca-1D-919_R1_001.fa	NODE_20_length_109901_cov_7.524514	2997	3863	+	sul1_5_EU780013	1-867/867	===============	0/0	100.00	99.77	109901	Klebsiella	UK_DTU2019_911_PRJ1139_Klebsiella_oxytoca_1D-919	UK9	v_122
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-911-PRJ1139-Klebsiella-oxytoca-1D-919_R1_001.fa	NODE_31_length_13670_cov_21.038692	5620	6422	+	aph(3'')-Ib_2_AF024602	2-804/804	===============	0/0	99.88	100.00	13670	Klebsiella	UK_DTU2019_911_PRJ1139_Klebsiella_oxytoca_1D-919	UK11	v_35
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-911-PRJ1139-Klebsiella-oxytoca-1D-919_R1_001.fa	NODE_31_length_13670_cov_21.038692	6422	7258	+	aph(6)-Id_1_M28829	1-837/837	===============	0/0	100.00	100.00	13670	Klebsiella	UK_DTU2019_911_PRJ1139_Klebsiella_oxytoca_1D-919	UK12	v_34
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-911-PRJ1139-Klebsiella-oxytoca-1D-919_R1_001.fa	NODE_6_length_278758_cov_9.080996	273247	274062	+	sul2_2_AY034138	1-816/816	===============	0/0	100.00	100.00	278758	Klebsiella	UK_DTU2019_911_PRJ1139_Klebsiella_oxytoca_1D-919	UK16	v_27
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-912-PRJ1139-Enterobacter-cloacae-1D-920_R1_001.fa	NODE_2_length_500075_cov_11.487977	479185	480330	+	blaACT-7_1_FJ237368	1-1146/1146	===============	0/0	100.00	99.48	500075	Enterobacter	UK_DTU2019_912_PRJ1139_Enterobacter_cloacae_1D-920	UK17	v_124
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-913-PRJ1139-Pseudomonas-aeruginosa-1D-921_R1_001.fa	NODE_12_length_91353_cov_3.596793	56870	57658	+	blaOXA-396_1_AY306134	1-789/789	===============	0/0	100.00	99.87	91353	Pseudomonas	UK_DTU2019_913_PRJ1139_Pseudomonas_aeruginosa_1D-921	UK18	v_125
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-913-PRJ1139-Pseudomonas-aeruginosa-1D-921_R1_001.fa	NODE_17_length_73264_cov_2.655469	18463	18870	-	fosA_4_ACWU01000146	1-408/408	===============	0/0	100.00	99.02	73264	Pseudomonas	UK_DTU2019_913_PRJ1139_Pseudomonas_aeruginosa_1D-921	UK19	v_126
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-913-PRJ1139-Pseudomonas-aeruginosa-1D-921_R1_001.fa	NODE_27_length_60015_cov_2.714567	52314	52952	-	catB7_1_AF036933	1-639/639	===============	0/0	100.00	99.37	60015	Pseudomonas	UK_DTU2019_913_PRJ1139_Pseudomonas_aeruginosa_1D-921	UK20	v_127
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-913-PRJ1139-Pseudomonas-aeruginosa-1D-921_R1_001.fa	NODE_69_length_34010_cov_3.347431	14313	15119	+	aph(3')-IIb_2_CP006832	1-807/807	===============	0/0	100.00	99.01	34010	Pseudomonas	UK_DTU2019_913_PRJ1139_Pseudomonas_aeruginosa_1D-921	UK21	v_128
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-913-PRJ1139-Pseudomonas-aeruginosa-1D-921_R1_001.fa	NODE_69_length_34010_cov_3.347431	27476	28669	-	blaPAO_1_AY083595	1-1194/1194	===============	0/0	100.00	99.67	34010	Pseudomonas	UK_DTU2019_913_PRJ1139_Pseudomonas_aeruginosa_1D-921	UK22	v_129
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-914-PRJ1139-Escherichia-coli-1D-922_R1_001.fa	NODE_14_length_63380_cov_179.504545	58148	58984	-	aph(6)-Id_1_M28829	1-837/837	===============	0/0	100.00	100.00	63380	Escherichia	UK_DTU2019_914_PRJ1139_Escherichia_coli_1D-922	UK23	v_34
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-914-PRJ1139-Escherichia-coli-1D-922_R1_001.fa	NODE_14_length_63380_cov_179.504545	58984	59787	-	aph(3'')-Ib_5_AF321551	1-804/804	===============	0/0	100.00	100.00	63380	Escherichia	UK_DTU2019_914_PRJ1139_Escherichia_coli_1D-922	UK24	v_28
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-914-PRJ1139-Escherichia-coli-1D-922_R1_001.fa	NODE_14_length_63380_cov_179.504545	59848	60663	-	sul2_2_AY034138	1-816/816	===============	0/0	100.00	100.00	63380	Escherichia	UK_DTU2019_914_PRJ1139_Escherichia_coli_1D-922	UK25	v_27
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-915-PRJ1139-Proteus-mirabilis-1D-923_R1_001.fa	NODE_13_length_118510_cov_18.634331	28654	29307	+	cat_1_M11587	1-654/654	========/======	2/2	99.85	98.02	118510	Proteus	UK_DTU2019_915_PRJ1139_Proteus_mirabilis_1D-923	UK27	v_131
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-915-PRJ1139-Proteus-mirabilis-1D-923_R1_001.fa	NODE_6_length_233955_cov_18.648105	199165	199638	+	dfrA1_8_X00926	1-474/474	===============	0/0	100.00	100.00	233955	Proteus	UK_DTU2019_915_PRJ1139_Proteus_mirabilis_1D-923	UK29	v_13
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-915-PRJ1139-Proteus-mirabilis-1D-923_R1_001.fa	NODE_8_length_210480_cov_18.315489	171432	172628	+	tet(J)_1_ACLE01000065	1-1197/1197	===============	0/0	100.00	99.08	210480	Proteus	UK_DTU2019_915_PRJ1139_Proteus_mirabilis_1D-923	UK30	v_14
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-916-PRJ1139-Escherichia-coli-1D-924_R1_001.fa	NODE_1_length_473831_cov_8.922323	190057	191289	-	mdf(A)_1_Y08743	1-1233/1233	===============	0/0	100.00	98.22	473831	Escherichia	UK_DTU2019_916_PRJ1139_Escherichia_coli_1D-924	UK31	v_2
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-918-PRJ1139-Escherichia-coli-1D-926_R1_001.fa	NODE_1_length_782772_cov_9.701379	385330	386145	+	sul2_2_AY034138	1-816/816	===============	0/0	100.00	99.88	782772	Escherichia	CH_DTU2019_918_PRJ1139_Escherichia_coli_1D-926	CH1	v_1
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-918-PRJ1139-Escherichia-coli-1D-926_R1_001.fa	NODE_25_length_61011_cov_8.871099	27102	28334	+	mdf(A)_1_Y08743	1-1233/1233	===============	0/0	100.00	98.22	61011	Escherichia	CH_DTU2019_918_PRJ1139_Escherichia_coli_1D-926	CH2	v_2
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-920-PRJ1139-Klebsiella-pneumoniae-1D-928_R1_001.fa	NODE_15_length_80861_cov_13.525243	64586	65761	+	OqxA_1_EU370913	1-1176/1176	===============	0/0	100.00	98.98	80861	Klebsiella	CH_DTU2019_920_PRJ1139_Klebsiella_pneumoniae_1D-928	CH4	v_4
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-920-PRJ1139-Klebsiella-pneumoniae-1D-928_R1_001.fa	NODE_15_length_80861_cov_13.525243	65785	68937	+	OqxB_1_EU370913	1-3153/3153	===============	0/0	100.00	98.98	80861	Klebsiella	CH_DTU2019_920_PRJ1139_Klebsiella_pneumoniae_1D-928	CH5	v_5
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-920-PRJ1139-Klebsiella-pneumoniae-1D-928_R1_001.fa	NODE_2_length_523748_cov_11.818147	456879	457745	+	blaSHV-187_1_LN515533	1-867/867	===============	0/0	100.00	99.89	523748	Klebsiella	CH_DTU2019_920_PRJ1139_Klebsiella_pneumoniae_1D-928	CH6	v_6
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-920-PRJ1139-Klebsiella-pneumoniae-1D-928_R1_001.fa	NODE_31_length_8551_cov_12.631054	2451	3317	+	sul1_5_EU780013	1-867/867	===============	0/0	100.00	99.89	8551	Klebsiella	CH_DTU2019_920_PRJ1139_Klebsiella_pneumoniae_1D-928	CH8	v_8
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_104/Assemblies/DTU2019-921-PRJ1139-Klebsiella-pneumoniae-1D-929_R1_001.fa	NODE_12_length_212938_cov_6.593964	19600	20460	-	blaSHV-178_1_KF705209	1-861/861	===============	0/0	100.00	99.65	212938	Klebsiella	CH_DTU2019_921_PRJ1139_Klebsiella_pneumoniae_1D-929	CH9	v_9
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_104/Assemblies/DTU2019-921-PRJ1139-Klebsiella-pneumoniae-1D-929_R1_001.fa	NODE_1_length_480365_cov_7.345375	435595	438747	-	OqxB_1_EU370913	1-3153/3153	===============	0/0	100.00	98.76	480365	Klebsiella	CH_DTU2019_921_PRJ1139_Klebsiella_pneumoniae_1D-929	CH10	v_10
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_104/Assemblies/DTU2019-921-PRJ1139-Klebsiella-pneumoniae-1D-929_R1_001.fa	NODE_1_length_480365_cov_7.345375	438771	439946	-	OqxA_1_EU370913	1-1176/1176	===============	0/0	100.00	99.49	480365	Klebsiella	CH_DTU2019_921_PRJ1139_Klebsiella_pneumoniae_1D-929	CH11	v_11
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_104/Assemblies/DTU2019-922-PRJ1139-Proteus-mirabilis-1D-930_R1_001.fa	NODE_14_length_118604_cov_16.746086	89298	89951	-	cat_1_M11587	1-654/654	========/======	2/2	99.85	98.17	118604	Proteus	CH_DTU2019_922_PRJ1139_Proteus_mirabilis_1D-930	CH12	v_12
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_104/Assemblies/DTU2019-922-PRJ1139-Proteus-mirabilis-1D-930_R1_001.fa	NODE_3_length_252647_cov_17.397965	217858	218331	+	dfrA1_8_X00926	1-474/474	===============	0/0	100.00	100.00	252647	Proteus	CH_DTU2019_922_PRJ1139_Proteus_mirabilis_1D-930	CH13	v_13
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_104/Assemblies/DTU2019-922-PRJ1139-Proteus-mirabilis-1D-930_R1_001.fa	NODE_6_length_211107_cov_16.627917	171773	172969	+	tet(J)_1_ACLE01000065	1-1197/1197	===============	0/0	100.00	99.08	211107	Proteus	CH_DTU2019_922_PRJ1139_Proteus_mirabilis_1D-930	CH14	v_14
